姓名,身高,體重
張俊傑,174,89
郭致恬,182,67
傅佳琳,184,72
王良斌,152,76
陳奇瑄,188,71
陳倩潔,170,83
張凱妮,156,63
胡姿婷,151,56
崔孝憲,184,57
吳俐芷,161,62
呂傑宣,152,55
陳冠霞,160,82
陳倩妮,190,85
林冠蕙,163,70
陳志偉,177,68
陳建豪,163,57
陳逸華,168,67
馬彥文,167,67
陳逸華,183,57
王品星,190,56
游倫城,171,51
王良斌,159,83
賴佳雯,170,80
李政白,190,51
沈心利,166,75
陳孝邦,165,79
高俊男,163,78
劉依婷,185,81
陳俊憲,160,61
朱彥志,189,81
張天亨,181,89
楊偉翔,182,72
林瑞喬,169,83
艾巧夫,164,86
郭舜昇,180,77
林珍旺,156,54
林柏洋,157,83
鄧亭聿,181,73
黃嘉琪,176,73
白世宏,187,81
張韋成,180,56
高智超,159,89
林珈發,151,77
蔡明平,177,72
張牧聿,162,69
昌嘉洋,171,54
吳欣書,150,74
金宜芳,179,68
黃名明,175,58
周芷蓁,166,69
